# graph=cua-driver	target=x86_64-unknown-linux-gnu	lock_sha256=a510513612cbb9c93b9f24b2c6f329c64c07013f333b9abcc3dcea0bccf9b13a	external_packages=320
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
blocking	1.6.2	registry+https://github.com/rust-lang/crates.io-index	e83f8d02be6967315521be875afa792a316e28d57b5a2d401897e2a7921b7f21	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/blocking	6c4eddec184c36ebf01db23a640109bd98cd3707		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
borrow-or-share	0.2.4	registry+https://github.com/rust-lang/crates.io-index	dc0b364ead1874514c8c2855ab558056ebfeb775653e7ae45ff72f28f8f3166c	MIT-0	MIT-0	https://github.com/yescallop/borrow-or-share	fa67a43ce36367757ace1824434b9edaa53f5a09		LICENSE@sha256:010492e490b92ec85db01daad2a290ea5959f29314a1c4ff25e7a172e223abf9
bstr	1.13.0	registry+https://github.com/rust-lang/crates.io-index	1f7dc094d718f2e1c1559ad110e27eeaae14a5465d3d56dd6dbd793079fbd530	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/BurntSushi/bstr	63c6578f22bb8eda35a983e5c937d79c16b2a355		COPYING@sha256:68653aaa727a2bfa31b7a751e31701ce33c49d695c12dd291a07d1c54da4c14b;LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6b7374c39a57e57fc2c38eb529c4c88340152b10f51dd5ae2d819dfa67f61715
bytecount	0.6.9	registry+https://github.com/rust-lang/crates.io-index	175812e0be2bccb6abe50bb8d566126198344f707e304f45c648fd8f2cc0365e	Apache-2.0/MIT	Apache-2.0 OR MIT	https://github.com/llogiq/bytecount	f06647f90a45ab302d9423dbe85019d595abf8c2		LICENSE.Apache2@sha256:b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1;LICENSE.MIT@sha256:a5dea80c1f383cb5f80a6bb0da5e55a2beb9f24adb123ce6300af2cbaaa3bf65
bytemuck	1.25.0	registry+https://github.com/rust-lang/crates.io-index	c8efb64bd706a16a1bdde310ae86b351e4d21550d98d056f22f8a7f7a2183fec	Zlib OR Apache-2.0 OR MIT	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck	164cedda0eae131bc6cb67902599f4ec253642ca		LICENSE-APACHE@sha256:e3ba223bb1423f0aad8c3dfce0fe3148db48926d41e6fbc3afbbf5ff9e1c89cb;LICENSE-MIT@sha256:9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2;LICENSE-ZLIB@sha256:84b34dd7608f7fb9b17bd588a6bf392bf7de504e2716f024a77d89f1b145a151
byteorder	1.5.0	registry+https://github.com/rust-lang/crates.io-index	1fd0f2584146f6f2ef48085050886acf353beff7305ebd1ae69500e27c67f64b	Unlicense OR MIT	Unlicense OR MIT	https://github.com/BurntSushi/byteorder	ec068eefa042d494475db125c4b034bd8e9e34dd		COPYING@sha256:01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f;LICENSE-MIT@sha256:0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f
byteorder-lite	0.1.0	registry+https://github.com/rust-lang/crates.io-index	8f1fe948ff07f4bd06c30984e69f5b4899c516a3ef74f34df92a2df2ab535495	Unlicense OR MIT	Unlicense OR MIT	https://github.com/image-rs/byteorder-lite	7d44da06a48fe10d7e23efd9a932d18a7a2def63		LICENSE-MIT@sha256:0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f
bytes	1.11.1	registry+https://github.com/rust-lang/crates.io-index	1e748733b7cbc798e1434b6ac524f0c1ff2ab456fe201501e6497c8417a4fc33	MIT	MIT	https://github.com/tokio-rs/bytes	417dccdeff249e0c011327de7d92e0d6fbe7cc43		LICENSE@sha256:45f522cacecb1023856e46df79ca625dfc550c94910078bd8aec6e02880b3d42
camino	1.2.4	registry+https://github.com/rust-lang/crates.io-index	5f2d30e4173c4026932d51d31d6b0613b1fd3014bf3f9f8943d4ba139c437ba0	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/camino-rs/camino	896636623ecc0480e0afa2248868f48b626e1676		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
cargo-platform	0.1.9	registry+https://github.com/rust-lang/crates.io-index	e35af189006b9c0f00a064685c727031e3ed2d8020f7ba284d78cc2671bd36ea	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cargo	5ffbef3211a8c378857905775a15c5b32a174d3b	crates/cargo-platform	LICENSE-APACHE@sha256:8ada45cd9f843acf64e4722ae262c622a2b3b3007c7310ef36ac1061a30f6adb;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
