# graph=host-workspace	target=x86_64-unknown-linux-gnu	lock_sha256=c4fad3280c3402fc003cc1f3864d13f7650399896f3afe980c595316bcd2994b	external_packages=144
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
clap_lex	1.1.0	registry+https://github.com/rust-lang/crates.io-index	c8d4a3bb8b1e0c1050499d1815f5ab16d04f0959b233085fb31653fbfc9d98f9	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	9ab6dee710aa384e02ec5e9e2cfeadb2f35abf2a	clap_lex	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
colorchoice	1.0.5	registry+https://github.com/rust-lang/crates.io-index	1d07550c9036bf2ae0c684c4297d503f838287c83c53686d05370d0e139ae570	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	0fe6f0ff6d52e9f91d4071199bd0b24bd46f3d35	crates/colorchoice	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
cpufeatures	0.2.17	registry+https://github.com/rust-lang/crates.io-index	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	9d92d5e95ab4c07c5d8bfd024bf2a17e96d20feb	cpufeatures	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:ae9baa7beea910273c2f384c2a6b721fb7bd02bda3436074a1072e4ee689f985
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	9481c1c90cbf2ac953f07c8d4a58aa3945c425b7185c9154d67a65e4230da511	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast	dbf4f76cd71cdcc57d9164cbd46890d53ce0423c		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:61d383b05b87d78f94d2937e2580cce47226d17823c0430fbcad09596537efcf
crypto-common	0.1.7	registry+https://github.com/rust-lang/crates.io-index	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/traits	66a997ccf5776ce873da5a48e2885a9908e940f6	crypto-common	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:3521672491a3479422d5fe1aca6645dd2984090f85da6e5205abfb18fb7a6897
digest	0.10.7	registry+https://github.com/rust-lang/crates.io-index	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/traits	344389411fd9718a0742435152e933a9e71461ee	digest	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:9e0dfd2dd4173a530e238cb6adb37aa78c34c6bc7444e0e10c1ab5d8881f63ba
downcast-rs	1.2.1	registry+https://github.com/rust-lang/crates.io-index	75b325c5dbd37f80359721ad39aca5a29fb04c89279657cffdda8736d0c0b9d2	MIT/Apache-2.0	MIT OR Apache-2.0	https://github.com/marcianx/downcast-rs	c4c48bad50482df2544115ba971acfd5916e6140		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:fb252fecf98d9af8f1d9201c5860319a514f5a8a24700dc84fc6ea287a7a4958
equivalent	1.0.2	registry+https://github.com/rust-lang/crates.io-index	877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent	44cdd44f8b8ebb5f9ae096c7550a5e74ffb7d6ae		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:7365cc8878a1d7ce155a58c4ca09c3d7a6be413efa5334a80ea842912b669349
fastrand	2.5.0	registry+https://github.com/rust-lang/crates.io-index	da7c62ceae207dd37ea5b845da6a0696c799f85e97da1ab5b7910be3c1c80223	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/fastrand	7a1cc2c69ebde6cb3442809213db3fe19a2cb0ba		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
fax	0.2.7	registry+https://github.com/rust-lang/crates.io-index	caf1079563223d5d59d83c85886a56e586cfd5c1a26292e971a0fa266531ac5a	MIT	MIT	https://github.com/pdf-rs/fax	ac2a4b2237d98830ea1fd37c7d280eec0e87c1d8		LICENSE@sha256:7101390b4c8edd752f4c0de47f35d61b44d9cf0ee8dd032115e25644e277cfff
