libmplex2-2.2-0:amd64	1:2.2.1-3+b1
libmtdev1t64:amd64	1.1.7-1+b2
libmysofa1:amd64	1.3.5+dfsg-1
libncurses6:amd64	6.6+20260608-2
libncursesw6:amd64	6.6+20260608-2
libneon27t64:amd64	0.37.1-1
libnettle8t64:amd64	3.10.2-1+b1
libnghttp2-14:amd64	1.69.0-1
libnghttp3-9:amd64	1.17.0-1
libngtcp2-16:amd64	1.24.0-1
libngtcp2-crypto-gnutls8:amd64	1.24.0-1
libngtcp2-crypto-ossl0:amd64	1.24.0-1
libnice10:amd64	0.1.23-2+b1
libnorm1t64:amd64	1.5.9+dfsg-4+b1
libnotify-bin	0.8.8-1+b1
libnotify4:amd64	0.8.8-1+b1
libnpth0t64:amd64	1.8-3+b2
libnspr4:amd64	2:4.39-1
libnss3:amd64	2:3.126-1
libntlm0:amd64	1.8-6+b2
libnuma1:amd64	2.0.19-1+b2
liboeffis1:amd64	1.5.0-3+b1
libogg0:amd64	1.3.6-2+b1
libonnx1l:amd64	1.20.0-6
libonnxruntime-providers:amd64	1.23.2+dfsg-6+b5
libonnxruntime1.23:amd64	1.23.2+dfsg-6+b5
libopenal-data	1:1.25.2-1
libopenal1:amd64	1:1.25.2-1
libopencore-amrnb0:amd64	0.1.6-1+b3
libopencore-amrwb0:amd64	0.1.6-1+b3
libopenexr-3-4-33:amd64	3.4.6+ds-4+b2
libopenfec1:amd64	1.4.2.12+dfsg-1+b2
libopengl0:amd64	1.7.0-3+b1
libopenh264-8:amd64	2.6.0+dfsg-2+b2
libopenjp2-7:amd64	2.5.4-1.1
libopenjph0.28:amd64	0.28.1-1
libopenmpt0t64:amd64	0.8.7-1
libopenni2-0:amd64	2.2.0.33+dfsg-19+b1
libopus0:amd64	1.6.1-1+b1
liborc-0.4-0t64:amd64	1:0.4.42-4
libp11-kit0:amd64	0.26.4-1
libpackagekitqt6-2:amd64	1.1.4-1+b1
libpam-modules-bin	1.7.0-8
libpam-modules:amd64	1.7.0-8
libpam-runtime	1.7.0-8
libpam-systemd:amd64	261.2-1
libpam0g:amd64	1.7.0-8
libpango-1.0-0:amd64	1.58.0-1
libpangocairo-1.0-0:amd64	1.58.0-1
libpangoft2-1.0-0:amd64	1.58.0-1
libpangomm-2.48-1t64:amd64	2.56.2-1
libpciaccess0:amd64	0.19-2
libpcre2-16-0:amd64	10.46-1+b2
libpcre2-8-0:amd64	10.46-1+b2
libpgm-5.3-0t64:amd64	5.3.128~dfsg-3
libpipeline1:amd64	1.5.8-3
libpipewire-0.3-0t64:amd64	1.6.8-1
libpipewire-0.3-modules:amd64	1.6.8-1
libpixman-1-0:amd64	0.46.4-1+b2
libplacebo360:amd64	7.360.1-1
libplist-2.0-4:amd64	2.7.0+git20250820-1+b2
libpng16-16t64:amd64	1.6.58-1
libpolkit-agent-1-0:amd64	127-3
libpolkit-gobject-1-0:amd64	127-3
libpoppler-qt6-3t64:amd64	26.01.0-5
libpoppler156:amd64	26.01.0-5
libproc2-1:amd64	2:4.0.6-3
libprotobuf-lite32t64:amd64	3.21.12-16
libprotobuf32t64:amd64	3.21.12-16
libproxy1v5:amd64	0.5.12-1+b1
libpsl5t64:amd64	0.23.1-1
libpthreadpool0:amd64	0.0~git20251020.0e6ca13-1.1
libpulse-mainloop-glib0:amd64	17.0+dfsg1-2.1+b2
libpulse0:amd64	17.0+dfsg1-2.1+b2
libpython3-stdlib:amd64	3.14.6-1
libpython3.14-minimal:amd64	3.14.6-1
libpython3.14-stdlib:amd64	3.14.6-1
libqca-qt6-2:amd64	2.3.10-3
libqca-qt6-plugins:amd64	2.3.10-3
libqmobipocket6-3:amd64	4:26.04.0-2
