# graph=guest-shell	target=x86_64-unknown-linux-gnu	lock_sha256=11872837afdcb665b84f59bedbd2a6a769caa175b7b69bf9b81cdf06ffc49969	external_packages=162
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
core_maths	0.1.1	registry+https://github.com/rust-lang/crates.io-index	77745e017f5edba1a9c1d854f6f3a52dac8a12dd5af5d2f54aecf61e43d80d30	MIT	MIT	https://github.com/robertbastian/core_maths	d8ea96acac3893ad9a7e16cd7526936fbfc51021		LICENSE@sha256:9ebf8c4cc0b735ca13a766451f7b8097db3185975ceb2ba94b5abf439156a91f
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	9481c1c90cbf2ac953f07c8d4a58aa3945c425b7185c9154d67a65e4230da511	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast	dbf4f76cd71cdcc57d9164cbd46890d53ce0423c		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:61d383b05b87d78f94d2937e2580cce47226d17823c0430fbcad09596537efcf
crossbeam-utils	0.8.22	registry+https://github.com/rust-lang/crates.io-index	61803da095bee82a81bb1a452ecc25d3b2f1416d1897eb86430c6159ef717c17	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam	9b56303b8aa9ff8ec5bbebb9d2da05e034977889	crossbeam-utils	LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab
cursor-icon	1.2.0	registry+https://github.com/rust-lang/crates.io-index	f27ae1dd37df86211c42e150270f82743308803d90a6f6e6651cd730d5e1732f	MIT OR Apache-2.0 OR Zlib	MIT OR Apache-2.0 OR Zlib	https://github.com/rust-windowing/cursor-icon	766287581de8b4895d018c2d15ada77627a954f0		LICENSE-APACHE@sha256:b59affd015e517ed998dd735757f9a3693643cd389609947ed54074234a10784;LICENSE-MIT@sha256:c138726a726ac37bae09d0f8a48e74e8e3aa8a8952fcd10fae0fb224cc1c05f1;LICENSE-ZLIB@sha256:01e533bd94e8f1c32b2c2531e2c398de7d35d7804add3d574b4e1fe581d53537
data-url	0.3.2	registry+https://github.com/rust-lang/crates.io-index	be1e0bca6c3637f992fc1cc7cbc52a78c1ef6db076dbf1059c4323d6a2048376	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/servo/rust-url	91377f48bf35011d042aa5abef9e7f2a0a625aaa	data-url	LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:b38f11f6096706e6de553dabe2a7ed142d59b6fa8c97e290c67496154745cdd5
downcast-rs	1.2.1	registry+https://github.com/rust-lang/crates.io-index	75b325c5dbd37f80359721ad39aca5a29fb04c89279657cffdda8736d0c0b9d2	MIT/Apache-2.0	MIT OR Apache-2.0	https://github.com/marcianx/downcast-rs	c4c48bad50482df2544115ba971acfd5916e6140		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:fb252fecf98d9af8f1d9201c5860319a514f5a8a24700dc84fc6ea287a7a4958
endi	1.1.1	registry+https://github.com/rust-lang/crates.io-index	66b7e2430c6dff6a955451e2cfc438f09cea1965a9d6f87f7e3b90decc014099	MIT	MIT	https://github.com/zeenix/endi	226224559725a9ef0e0687b3a54eca9ad6a5a6c7		LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
enumflags2	0.7.12	registry+https://github.com/rust-lang/crates.io-index	1027f7680c853e056ebcec683615fb6fbbc07dbaa13b4d5d9442b146ded4ecef	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2	332c37f47577e5f6b7104419da7e761963032086		LICENSE-APACHE@sha256:41ba8a366e4129d0b7551f8b98211f59635b2e30c0a3c7845e828e2a7ce42064;LICENSE-MIT@sha256:2e3edd2716fb15616e867bd53f724f0906732242e9ae76bb1faad1d88f7eeebd
enumflags2_derive	0.7.12	registry+https://github.com/rust-lang/crates.io-index	67c78a4d8fdf9953a5c9d458f9efe940fd97a0cab0941c075a813ac594733827	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2	332c37f47577e5f6b7104419da7e761963032086	enumflags_derive	LICENSE-APACHE@sha256:68d7c3ae5b131ec533fb33a9fd63753eb82fac77d7597bb5058a5af07adf9f06;LICENSE-MIT@sha256:d13669f0eaff9b7015bff0d8637297213b53d9f239826636c07a15633acf7052
equivalent	1.0.2	registry+https://github.com/rust-lang/crates.io-index	877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent	44cdd44f8b8ebb5f9ae096c7550a5e74ffb7d6ae		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:7365cc8878a1d7ce155a58c4ca09c3d7a6be413efa5334a80ea842912b669349
errno	0.3.14	registry+https://github.com/rust-lang/crates.io-index	39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/lambda-fairy/rust-errno	ffc03bfb9eb491013567115e6eea560948cd9e52		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:8764a597675778ddfd4e25f81b08a05dbcf089ac05662df7613fe67f150e3aa2
event-listener	5.4.2	registry+https://github.com/rust-lang/crates.io-index	5a23add41df1562121a9393cb065eab5146a1242410f23a644851e90cfd669d2	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener	77004ac77dcef7884bf71a99c276a50f83a7fa4e		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
event-listener-strategy	0.5.4	registry+https://github.com/rust-lang/crates.io-index	8be9f3dfaaffdae2972880079a491a1a8bb7cbed0b8dd7a347f668b4150a3b93	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener-strategy	f533c437e8a6561e9b625c3ee036a8ea7d19375c		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
